"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"ornithine",0.413559206869586,-0.289282936437105,0.517389169955265,-0.00859804730362518,0.324041925895838,0.336774714352419,-2.91894598890423,0.400092180016002,-0.0219748518637567,0.325029840942981,-0.262813337207411,1.18472812368403
"oleic acid",-0.426289646250461,0.272902886676638,-1.55239783370787,0.0381381482537882,0.612967466858231,-0.77888040399121,1.40304591193744,1.08494665485735,-1.76669121667262,0.740367277765904,-0.296695171222297,0.668585925495109
"N-methylalanine",0.656873338551708,-1.05496753135391,1.16502136332166,0.664413713437901,-0.0394765639756192,-0.897901849141966,-0.46014737105585,-0.47097492072401,0.770019541336558,1.09449979070088,-2.05643140488816,0.629071893790822
"naproxen",-0.56074743048231,-0.416471460757203,-0.640031336064469,-0.178682739003495,-0.151194393270529,-0.477449851737905,0.837505243062681,-0.609676887373078,0.104533884027719,-0.523004006861918,2.89544787644588,-0.280228897985371
"N-acetylmannosamine",-2.58753342568936,0.370195339473194,1.18819537242236,-0.355078078071232,0.657513926016124,0.657513926016124,-1.0059425102568,-0.028192133273317,0.694446081343298,0.500058598006398,0.043581649157732,-0.134758745144523
"N-acetylglycine NIST",0.0423962691258512,-0.81666906769283,1.40532602374861,0.187889173522555,0.971063308910965,1.6970969602552,-1.36887969575946,-0.48795087515871,-0.714302622739684,0.601737787659706,-1.18426321411122,-0.333444047760996
"n-acetylglutamate",-0.0014495251750159,1.53753497613549,0.108969488017248,0.722223819592896,1.08660338632974,1.19363952115543,-1.03228191969759,0.197167083577906,-0.673449691373406,-1.50945436236119,-0.406760673000645,-1.22274210320085
"n-acetyl-d-hexosamine",0.144286602825092,-2.21726288991092,0.260805216901426,-0.322533303493027,0.428132887874975,0.354822513200309,1.6527128727854,-1.14888914446392,0.373305137050307,0.464179380419803,-0.761396536228799,0.771837263039366
"myristic acid",0.519399096728197,-0.744897870159801,0.130263541823148,-0.83563718872392,0.264536330812835,0.110105151543913,2.21739906474238,0.563256111525584,-0.258653715589964,0.173485414144887,-2.00735608745847,-0.131899849388787
"myo-inositol",-0.669454201032339,0.000766801617534435,0.210818798600235,0.40153262008381,0.773590212082675,0.935164246770355,-1.0896647952724,0.109967920899918,-0.202956437581754,0.592341950771876,-2.36375990611853,1.3016527891786
"montanic acid",-1.29890708353403,-0.0687612089323338,0.858593717118835,-0.318476161031914,0.781387034777234,-0.785302082487324,-1.32104546958603,1.25319046072013,-0.556614364005732,-0.857486541916433,0.836143518262503,1.47727818061509
"methionine sulfoxide",1.75630966760248,0.359912576023867,0.833717235968671,0.341359047744138,-0.526368785169514,1.10656874542791,-2.02604354948121,-0.134480557822749,-1.01411595376873,0.0901415756965498,-0.351716536756682,-0.435283465464739
"methionine",0.128405224193643,0.0023305498036619,-0.251133966302994,1.19718398283788,0.261562958478515,-0.240939188049177,-1.13692937922956,0.442429359814435,0.681640905015926,0.891543627484603,-2.51454820406114,0.538454130014209
"methanolphosphate",-0.0454492118298008,1.21239751707409,-0.415190741590962,1.24290279972077,0.834525776285171,-1.49349115461637,0.613868638982996,0.341561666942745,0.67586613601003,-0.632570196839607,-1.80309047881346,-0.531330751325602
"mannose",-0.937783046637021,-0.578247188965651,-0.64173181287355,-1.17833019089403,-0.238026907065801,-1.71641887806441,0.451529712242305,0.907474079687516,0.835735673444889,1.2238849583965,0.875154842721359,0.99675875800789
"mannitol",-0.439460530343515,-0.658308898623115,-0.723577137932023,-0.505144693269702,-0.687735334075173,-0.626560729674974,1.28088898156914,-0.125784849226974,1.26861038766053,-0.532106547808651,2.22558713243461,-0.476407780710162
"maltose",-0.928855361962695,-1.05819506485644,-0.882193505896163,-0.739257498546138,-0.407648401412021,0.287289755966997,-0.622596730766571,0.968450712433052,0.317584806674796,0.777258727187509,2.32636986719249,-0.0382073060148083
"malic acid",-0.651548390610864,0.362777004558671,0.228716941417356,-1.52079716643546,1.04457741194341,1.1918920690447,1.53555958460091,-0.750278551438717,-0.640869912578801,-0.0936390972996298,-1.34746764473825,0.64107775153669
"lyxitol",0.192939569233914,-0.219785382108532,-0.00603026062539552,0.325873370392234,0.0473509746879034,1.54588291493471,-0.0251096282974611,2.03741534837153,-1.22726551702905,-1.21759225050013,-1.05793467423689,-0.395744464822849
