"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"methionine",11.0681064758588,10.8872206154684,10.523561956057,12.6015386759398,11.2591547688668,10.5381889320524,9.25266543245025,11.5186531556734,11.8618623400592,12.1630206395808,7.27612440527424,11.6564248632778
"methanolphosphate",10.5362472156881,11.4330637651221,10.2726297849764,11.4548133485125,11.1636496760158,9.50382573799575,11.0063260785249,10.8121773055144,11.0505289055306,10.1176431013891,9.283088353024,10.18982455888
"mannose",12.4622466342444,12.9264813239664,12.8445096261422,12.1516508299734,13.3657756353263,11.4568677383803,14.2561349593826,14.844852850617,14.7522238233514,15.2534043287742,14.8031220729354,14.9601377215209
"mannitol",10.7582232147267,10.0861362250273,9.88569637333939,10.5565060546719,9.9957671508778,10.1836353814732,16.0414452637714,11.7215264640075,16.0037374970531,10.4737057496194,18.9426290440343,10.6447575925163
"maltose",8.08746284125034,7.97154355395077,8.12928301694497,8.25738784269265,8.55458885167764,9.17741953798924,8.36194377373524,9.78790255939143,9.2045711442492,9.61654884377899,11.004922678569,8.88569637333939
"malic acid",7.56224242422107,8.28540221886225,8.18982455888002,6.94251450533924,8.7714894695006,8.876516946565,9.12153351734003,7.49185309632967,7.56985560833095,7.96000193206808,7.06608919045777,8.48381577726426
"lyxitol",9.92629599478111,9.71938882094208,9.82654848729091,9.99293833616581,9.85330955540367,10.604553229079,9.81698362325538,10.8509681509824,9.21431912080077,9.21916852046216,9.29920801838728,9.63117705570398
"lysine",15.6218515583877,14.7162836016347,14.7795141791435,15.3309518809664,14.7315311764619,15.0838532493592,13.6481328456527,16.1412490050803,15.1525621351117,15.4252486914505,14.9111110619267,15.3970729389537
"linoleic acid",9.02790599656988,10.3498340914572,11.0140204703149,9.98868468677217,10.4807902010958,8.71080643369935,12.0960562391809,11.6497052654714,10.8657332708518,10.7013064619586,9.2644426002266,10.9046346216682
"lignoceric acid",8.53138146051631,8.29001884693262,7.98868468677217,6.62935662007961,7.65821148275179,8.86727873970966,6.55458885167764,8.2045711442492,8.97154355395077,8.48381577726426,7.67948009950545,9.12670447284319
